,COD. IPRESS,NOMBRE IPRESS,PRODUCTO/SERVICIO,ENE21,FEB21,MAR21,ABR21,MAY21,JUN21,JUL21,AGO21,SEP21,OCT21,NOV21,DIC21
11,10464,CLINICA ANGLO AMERICANA,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,2173.43,2173.43,2173.43,2173.43,2173.43,2173.43,2173.43,0,0,0,0,0
12,9123,CLINICA ANGLOAMERICANA,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,2173.43,2173.43,2173.43,2173.43,2173.43,2173.43,2173.43,0,0,0,0,0
13,15730,CLINICA SAN JUAN DE DIOS,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,1940.57,1940.57,1940.57,1940.57,1940.57,1940.57,1940.57,0,0,0,0,0
14,19049,AUNA CLÍNICA DELGADO,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,1862.95,1862.95,1862.95,1862.95,1862.95,1862.95,1862.95,0,0,0,0,0
15,8281,CLUB DE LA SALUD,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,0,0,0,0,0,0,2173.42,0,0,0,0,0
16,9886,CLINICA SAN BORJA,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,1798.49,1798.49,1798.49,1672.6,1672.6,1672.6,1672.6,0,0,0,0,0
17,18310,SANNA - CLINICA BELEN,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,2463.85,2463.85,2463.85,2463.85,2463.85,0,0,0,0,0,0,0
18,9116,CLINICA SAN FELIPE S.A.,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,2173.42,2173.42,2173.42,2173.42,2173.42,2173.42,2173.42,0,0,0,0,0
19,9116,CLINICA SAN FELIPE S.A.,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,2173.42,2173.42,2173.42,2173.42,2173.42,2173.42,2173.42,0,0,0,0,0
20,25208,GRUPO CARITA FELIZ S.A.,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0
21,10251,CLINICA MAISON DE SANTE DEL SUR,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,0,0,0,0,0,2173.42,0,0,0,0,0,0
22,8271,CLINICA SAN JUAN BAUTISTA,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,2365.95,2365.95,0,2365.95,2365.95,2365.95,2365.95,2365.95,0,0,0,0
23,9250,CLINICA BELLAVISTA,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,1862.95,3387.18,1862.95,1862.95,1862.95,1862.95,1862.95,0,0,0,0,0
24,9988,CLINICA SAN PABLO,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,2365.95,0,0,0,0,0,0,0,0,0,0,0
25,12907,SANNA - CLINICA DEL SUR,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,1847.89,1847.89,1847.89,1847.89,1847.89,1847.89,1847.89,0,0,0,0,0
26,10743,CLINICA STELLA MARIS,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,2173.42,2173.42,2173.42,2064.75,2064.75,2064.75,2064.75,2064.75,0,0,0,0
27,10603,CLÍNICA MÉDICA CAYETANO HEREDIA,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,2173.42,2173.42,2173.42,2173.42,2173.42,2173.42,2173.42,0,0,0,0,0
28,10603,CLÍNICA MÉDICA CAYETANO HEREDIA,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,2173.42,2173.42,2173.42,2173.42,2173.42,2173.42,2173.42,0,0,0,0,0
29,8325,CLINICA CENTENARIO PERUANO JAPONESA,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,0,1782.2,0,0,0,0,0,0,0,0,0,0
30,9409,CLINICA RICARDO PALMA,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,0,1798.9,1798.9,1798.9,1798.9,1798.9,1798.9,1798.9,0,0,0,0
31,8398,CLINICA EL GOLF,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,2463.85,2463.85,2463.85,2463.85,2463.85,2463.85,2463.85,0,0,0,0,0
32,13494,AUNA CLINICA MIRAFLORES,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,2328.69,2328.69,2328.69,2328.69,2328.69,2328.69,2328.69,0,0,0,0,0
33,9886,CLINICA SAN BORJA,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,0,1798.49,1798.49,1672.6,1672.6,1672.6,1672.6,0,0,0,0,0
34,8398,CLINICA EL GOLF,ACTEMRA 400 mg/20 mL INYECTABLE ROCHE FARMA VIAL X 20 ML x 1 /,5118.16,5118.16,5118.16,5118.16,5118.16,5118.16,5118.16,0,0,0,0,0
35,9886,CLINICA SAN BORJA,ACTEMRA 400 mg/20 mL INYECTABLE ROCHE FARMA VIAL X 20 ML x 1 /,3269.93,3269.93,3269.93,2452.45,2452.45,2452.45,2452.45,0,0,0,0,0
36,19049,AUNA CLÍNICA DELGADO,ACTEMRA 400 mg/20 mL INYECTABLE ROCHE FARMA VIAL X 20 ML x 1 /,2390.77,2390.77,2390.77,2390.77,2390.77,2390.77,2390.77,0,0,0,0,0
37,9250,CLINICA BELLAVISTA,ACTEMRA 400 mg/20 mL INYECTABLE ROCHE FARMA VIAL X 20 ML x 1 /,2390.77,4346.85,2390.77,2390.77,2390.77,2390.77,2390.77,0,0,0,0,0
38,9116,CLINICA SAN FELIPE S.A.,ACTEMRA 400 mg/20 mL INYECTABLE ROCHE FARMA VIAL X 20 ML x 1 /,3781.75,3781.75,3781.75,3781.75,3781.75,3781.75,3781.75,0,0,0,0,0
39,8398,CLINICA EL GOLF,ACTEMRA 400 mg/20 mL INYECTABLE ROCHE FARMA VIAL X 20 ML x 1 /,5118.16,5118.16,5118.16,5118.16,5118.16,5118.16,5118.16,0,0,0,0,0
40,9988,CLINICA SAN PABLO,ACTEMRA 400 mg/20 mL INYECTABLE ROCHE FARMA VIAL X 20 ML x 1 /,3569.05,0,0,0,0,0,0,0,0,0,0,0
41,10581,SANNA/SANCHEZ FERRER S.A.,ACTEMRA 400 mg/20 mL INYECTABLE ROCHE FARMA VIAL X 20 ML x 1 /,5118,5118,5118,5118,5118,5118,5118,0,0,0,0,0
42,18404,CLINICA SAN PABLO TRUJILLO,ACTEMRA 400 mg/20 mL INYECTABLE ROCHE FARMA VIAL X 20 ML x 1 /,2365.95,3943.21,0,0,0,0,0,0,0,0,0,0
43,10182,CLINICA JESUS DEL NORTE,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,788.64,0,0,0,0,0,0,0,0,0,0,0
44,13494,AUNA CLINICA MIRAFLORES,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,1012.2,1012.2,1012.2,1012.2,1012.2,1034.99,1034.99,0,0,0,0,0
45,9409,CLINICA RICARDO PALMA,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,0,733.52,733.52,733.52,733.52,733.52,733.52,733.52,0,0,0,0
46,10743,CLINICA STELLA MARIS,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,774.01,774.01,774.01,774.01,774.01,774.01,774.01,774.01,0,0,0,0
47,8398,CLINICA EL GOLF,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,766.23,766.23,766.23,766.23,766.23,766.23,766.23,0,0,0,0,0
48,10182,CLINICA JESUS DEL NORTE,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,0,0,0,788.64,788.64,855.64,788.64,0,0,0,0,0
49,9153,CLINICA MONTEFIORI,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,759.56,0,0,0,0,0,0,0,0,0,0,0
50,9116,CLINICA SAN FELIPE S.A.,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,816.09,816.09,816.09,816.09,816.09,816.09,816.09,0,0,0,0,0
51,12907,SANNA - CLINICA DEL SUR,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,728.24,728.24,728.24,728.24,728.24,728.24,728.24,0,0,0,0,0
52,8271,CLINICA SAN JUAN BAUTISTA,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,788.64,788.64,0,788.64,788.64,788.64,788.64,788.64,0,0,0,0
53,9250,CLINICA BELLAVISTA,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,745.19,1354.9,745.19,2390.77,745.2,745.2,745.2,0,0,0,0,0
54,13373,CLINICA PERUANO AMERICANA S. A.,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,695.4,695.4,695.4,695.4,695.4,695.4,695.4,695.4,0,0,0,0
55,14501,CLINICA SAN GABRIEL S.A.C.,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,788.64,788.64,788.64,788.64,788.64,788.64,788.64,0,0,0,0,0
56,12633,CLINICA JAVIER PRADO,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,789.38,789.38,789.38,789.38,789.38,789.38,789.38,789.38,0,0,0,0
57,9116,CLINICA SAN FELIPE S.A.,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,816.09,816.09,816.09,816.09,816.09,816.09,816.09,0,0,0,0,0
58,18310,SANNA - CLINICA BELEN,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,970.98,970.98,970.98,970.98,970.98,970.98,970.98,0,0,0,0,0
59,9886,CLINICA SAN BORJA,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,653.98,653.98,653.98,652.02,652.02,652.02,652.02,0,0,0,0,0
60,8746,CLINICA GOOD HOPE,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,849.76,807.27,807.27,807.27,807.27,807.27,807.27,807.27,0,0,0,0
61,13722,CLINICA AREQUIPA S.A.,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,764.69,764.69,764.69,764.69,764.69,764.69,764.69,0,0,0,0,0
62,18985,CLINICA SANTA MARTHA DEL SUR,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,788.64,788.64,0,0,0,0,0,0,0,0,0,0
63,25208,GRUPO CARITA FELIZ S.A.,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,990,990,990,990,990,990,990,990,0,0,0,0
64,19049,AUNA CLÍNICA DELGADO,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,745.19,745.19,745.19,745.19,745.19,745.19,745.19,0,0,0,0,0
65,18404,CLINICA SAN PABLO TRUJILLO,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,0,0,788.64,788.64,788.64,788.64,788.64,788.64,0,0,0,0
66,8398,CLINICA EL GOLF,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,766.23,766.23,766.23,766.23,766.23,766.23,766.23,0,0,0,0,0
67,9988,CLINICA SAN PABLO,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,788.64,788.64,788.64,788.64,788.64,788.64,788.64,788.64,0,0,0,0
68,9886,CLINICA SAN BORJA,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,0,653.98,653.98,652.02,652.02,652.02,652.02,0,0,0,0,0
69,10581,SANNA/SANCHEZ FERRER S.A.,ACTEMRA 80 mg/4 mL INYECTABLE ROCHE FARMA VIAL X 4 ML x 1 /,1024,1024,1024,1024,1024,1024,1024,0,0,0,0,0
70,26080,SR DE TORRECHAYOC,ALCOHOL MEDICINAL 70° SOLUCION TOPICA ERZA FRASCO X 1000 ML x 1 /,0,0,0,0,0,0,18,0,0,0,0,0
71,9886,CLINICA SAN BORJA,ALCOHOL MEDICINAL 70° SOLUCION TOPICA ERZA FRASCO X 120 ML x 1 /,3.08,0,0,0,0,0,0,0,0,0,0,0
72,27488,HOSPITAL DE ESPECIALIDADES MEDICAS,ALCOHOL MEDICINAL 70° SOLUCION TOPICA ERZA FRASCO X 120 ML x 1 /,3,3,3,3,3,3,3,3,0,0,0,0
73,26080,SR DE TORRECHAYOC,ALCOHOL MEDICINAL 70° SOLUCION TOPICA ERZA FRASCO X 120 ML x 1 /,0,3,0.5,2.5,0,2.5,3,0,0,0,0,0
74,13164,CLINICA SANTA MARIA DE CHIMBOTE S.A.C.,ALCOHOL MEDICINAL 70° SOLUCION TOPICA ERZA FRASCO X 120 ML x 1 /,0,3,3,3,3,3,3,3,0,0,0,0
75,27694,CHENET CLINICA ESPECIALIZADA,ALCOHOL MEDICINAL 70° SOLUCION TOPICA ERZA FRASCO X 120 ML x 1 /,5,5,3,3,3,3,3,3,0,0,0,0
76,8858,CLINICA ORTEGA,ALCOHOL MEDICINAL 70° SOLUCION TOPICA ERZA FRASCO X 120 ML x 1 /,1.25,1.25,1.25,1.25,1.25,1.25,1.95,2,0,0,0,0
77,9886,CLINICA SAN BORJA,ALCOHOL MEDICINAL 70° SOLUCION TOPICA ERZA FRASCO X 120 ML x 1 /,0,0,0,3.15,3.15,3.15,3.15,0,0,0,0,0
78,18310,SANNA - CLINICA BELEN,ALCOHOL MEDICINAL 70° SOLUCION TOPICA ERZA FRASCO X 120 ML x 1 /,3.95,3.95,3.95,3.95,3.95,3.95,3.95,0,0,0,0,0
79,11087,CLINICA LA LUZ S.A.C.,ALCOHOL MEDICINAL 70° SOLUCION TOPICA ERZA FRASCO X 120 ML x 1 /,2.5,2.5,2.5,2.5,2,2.5,2.5,2.5,0,0,0,0
80,9886,CLINICA SAN BORJA,ALCOHOL MEDICINAL 70° SOLUCION TOPICA ERZA FRASCO X 120 ML x 1 /,0,3.08,3.08,0,0,0,0,0,0,0,0,0
81,15875,PROMEDIC,ALCOHOL MEDICINAL 70° SOLUCION TOPICA ERZA FRASCO X 500 ML x 1 /,0,0,0,0,0,6.5,6.5,0,0,0,0,0
82,11466,CLINICA ISABEL,ALCOHOL MEDICINAL 70° SOLUCION TOPICA ERZA FRASCO X 500 ML x 1 /,9,9,9,9,9,9,9,9,0,0,0,0
83,8398,CLINICA EL GOLF,ALCOHOL MEDICINAL 70° SOLUCION TOPICA ERZA FRASCO X 60 ML x 1 /,8.09,8.09,8.09,8.09,8.09,8.09,8.09,0,0,0,0,0
84,13164,CLINICA SANTA MARIA DE CHIMBOTE S.A.C.,ALCOHOL MEDICINAL 70° SOLUCION TOPICA ERZA FRASCO X 60 ML x 1 /,0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0
85,8398,CLINICA EL GOLF,ALCOHOL MEDICINAL 70° SOLUCION TOPICA ERZA FRASCO X 60 ML x 1 /,8.09,8.09,8.09,8.09,8.09,8.09,8.09,0,0,0,0,0
86,26080,SR DE TORRECHAYOC,ALCOHOL MEDICINAL 70° SOLUCION TOPICA PORTUGAL FRASCO X 120 ML x 1 /,18,18,0,0,0,0,0,0,0,0,0,0
87,11466,CLINICA ISABEL,ALCOHOL MEDICINAL 70° SOLUCION TOPICA PORTUGAL FRASCO X 120 ML x 1 /,3,3,3,3,3,3,3,3,0,0,0,0
88,10743,CLINICA STELLA MARIS,ALCOHOL MEDICINAL 70° SOLUCION TOPICA PORTUGAL FRASCO X 120 ML x 1 /,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,0,0,0,0
89,13164,CLINICA SANTA MARIA DE CHIMBOTE S.A.C.,ALCOHOL MEDICINAL 70° SOLUCION TOPICA PORTUGAL FRASCO X 120 ML x 1 /,4.13,0,0,0,0,0,0,0,0,0,0,0
90,14501,CLINICA SAN GABRIEL S.A.C.,ALICAM FORTE 500 mg TABLETA E.S.C. PHARMED CAJA TAB x 100 /,0,0.78,0.78,0.78,0.78,0.78,0.78,0,0,0,0,0
91,9660,SEÑOR DE LUREN DE ICA,ALICAM FORTE 500 mg TABLETA E.S.C. PHARMED CAJA TAB x 100 /,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0,0,0,0
92,27214,CLINICA SAN PABLO AREQUIPA,ALICAM FORTE 500 mg TABLETA E.S.C. PHARMED CAJA TAB x 100 /,0,0,0,0,18.42,18.42,18.42,0,0,0,0,0
93,17385,CLINICA SAN BARTOLOME,ALICAM FORTE 500 mg TABLETA E.S.C. PHARMED CAJA TAB x 100 /,0.3,0.3,1,1,1,1,1,1,0,0,0,0
94,12765,SAN VICENTE,ALICAM FORTE 500 mg TABLETA E.S.C. PHARMED CAJA TAB x 100 /,0,0,0,0,1,1,1,0,0,0,0,0
95,9599,CLINICA SAN FRANCISCO DE ASIS,ALICAM FORTE 500 mg TABLETA E.S.C. PHARMED CAJA TAB x 100 /,1,1,1,1,1,1,1,1,0,0,0,0
96,15266,CLINICA Y BOTICA SAN JUAN,ALICAM FORTE 500 mg TABLETA E.S.C. PHARMED CAJA TAB x 100 /,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0
97,8858,CLINICA ORTEGA,ALICAM FORTE 500 mg TABLETA E.S.C. PHARMED CAJA TAB x 100 /,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0
98,9988,CLINICA SAN PABLO,ALICAM FORTE 500 mg TABLETA E.S.C. PHARMED CAJA TAB x 200 /,0,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0,0,0,0
99,10883,CLINICA SAN PEDRO,ALICAM FORTE 500 mg TABLETA E.S.C. PHARMED CAJA TAB x 200 /,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0
100,11338,PARDO,ALICAM FORTE 500 mg TABLETA E.S.C. PHARMED CAJA TAB x 200 /,1,1,1,0,0,0,1,1,0,0,0,0
101,18404,CLINICA SAN PABLO TRUJILLO,ALICAM FORTE 500 mg TABLETA E.S.C. PHARMED CAJA TAB x 200 /,0,0,0.45,0.45,0.45,0.45,0.45,0.45,0,0,0,0
102,14501,CLINICA SAN GABRIEL S.A.C.,ALICAM FORTE 500 mg TABLETA E.S.C. PHARMED CAJA TAB x 200 /,0.78,0,0,0,0,0,0,0,0,0,0,0
103,10815,CLINICA AMERICANA DE JULIACA,ALICAM FORTE 500 mg TABLETA E.S.C. PHARMED CAJA TAB x 200 /,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0,0,0,0
104,27694,CHENET CLINICA ESPECIALIZADA,ALICAM FORTE 500 mg TABLETA E.S.C. PHARMED CAJA TAB x 200 /,1,1,1,1,1,1,1,1,0,0,0,0
105,10581,SANNA/SANCHEZ FERRER S.A.,ALIMENTACION COMPLETA CADA DIA / ALIMENTACION COMPLETA CADA DIA,10,10,10,10,10,10,10,0,0,0,0,0
106,10603,CLÍNICA MÉDICA CAYETANO HEREDIA,ALIMENTACION COMPLETA CADA DIA / ALIMENTACION COMPLETA CADA DIA,40,40,40,0,0,0,0,0,0,0,0,0
107,8108,HOSPITAL  DIOSPI SUYANA,ALIMENTACION COMPLETA CADA DIA / ALIMENTACIÓN COMPLETA DIARIA,0,0,0,0,0,15,15,15,0,0,0,0
108,9850,CLÍNICA VESALIO,ALIMENTACION COMPLETA CADA DIA / ALIMENTACION COMPLETA CADA DIA,73.94,73.94,73.94,73.94,73.94,73.94,73.94,0,0,0,0,0
109,8325,CLINICA CENTENARIO PERUANO JAPONESA,ALIMENTACION COMPLETA CADA DIA / ALIMENTACION COMPLETA.CADA DIA.,115.43,115.43,115.43,115.43,115.43,115.43,115.43,115.43,0,0,0,0
110,12761,CLINICA SAN LORENZO S.R.L.,ALIMENTACION COMPLETA CADA DIA / ALIMENTACION,0,0,70.8,70.8,70.8,70.8,70.8,70.8,0,0,0,0
111,8325,CLINICA CENTENARIO PERUANO JAPONESA,ALMUERZO / ALMUERZO,15,15,15,15,15,15,15,15,0,0,0,0
112,10603,CLÍNICA MÉDICA CAYETANO HEREDIA,ALMUERZO / ALMUERZO,16,16,16,0,0,0,0,0,0,0,0,0
113,8281,CLUB DE LA SALUD,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / ALCOHOL CC,0,0,0,0,0.01,0,0,0,0,0,0,0
114,16541,HOGAR CLINICA SAN JUAN DE DIOS-CUSCO,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / ALCOHOL 70° X 500 ML,0,7,7,7,7,7,7,7,0,0,0,0
115,12975,CL ESPECIALIDADES MEDICAS,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / ALCOHOL 70° ALKOF SOL,13,13,12,12,12.5,12.5,12.5,0,0,0,0,0
116,26080,SR DE TORRECHAYOC,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / ALCOHOL EN GEL MONCLER X,0,0,0,0,0,20,20,0,0,0,0,0
117,11547,CLINICA CONTINENTAL,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / 500ML,0,0,14,0,0,0,0,0,0,0,0,0
118,9850,CLÍNICA VESALIO,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / ACETONA X 10 C.C.,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0,0,0,0,0
119,15684,CLINICA GONZALEZ S.A.,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / ALCOHOL EN GEL 1L,0,19.9,19.9,19.9,19.9,19.9,19.9,19.9,0,0,0,0
120,11547,CLINICA CONTINENTAL,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / CAPACIDAD 100 ML,0,6,6,0,0,0,0,0,0,0,0,0
121,9591,CLINICA LIMATAMBO CAJAMARCA S.A.C.,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / ALCOHOL 70° FCO X 1000 ML.,30,30,30,30,30,30,30,0,0,0,0,0
122,9850,CLÍNICA VESALIO,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / ALCOHOL 70 ° X 10 C.C.,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0
123,27462,CLINICA LA LUZ,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / ALCOHOL 70° X 500ML,12,12,12,0,0,0,0,0,0,0,0,0
124,12761,CLINICA SAN LORENZO S.R.L.,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / ALCOHOL MEDICINAL 70°,0,0,20,20,20,20,20,20,0,0,0,0
125,15684,CLINICA GONZALEZ S.A.,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / ALCOHOL 70o 1L,0,10.5,10.5,10.5,10.5,10.5,10.5,10.5,0,0,0,0
126,11547,CLINICA CONTINENTAL,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / 100 ML,0,0,6,6,6,6,6,6,0,0,0,0
127,27462,CLINICA LA LUZ,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / ALCOHOL EN GEL 50ML -,8,8,8,8,8,8,8,0,0,0,0,0
128,8858,CLINICA ORTEGA,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / GEL INSTANT CLIAN X 1 LITRO,0,0,0,0,0,0,24.09,24.09,0,0,0,0
129,10251,CLINICA MAISON DE SANTE DEL SUR,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / ALCOHOL CC,0,0,0,0,0.01,0.01,0,0,0,0,0,0
130,25383,CLINICA MEDICO QUIRURGICO HUANCAYO E.I.,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / ALCOHOL MEDICINAL 70°LITRO,15,15,15,15,15,15,15,15,0,0,0,0
131,11547,CLINICA CONTINENTAL,"ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / CAPACIDAD 1,000",0,22,22,0,0,0,0,0,0,0,0,0
132,27462,CLINICA LA LUZ,ANTISÉPTICOS BASADOS EN ALCOHOL O ACETONA / ALCOHOL 70° X 1000ML - AKY,25,25,25,0,0,0,0,0,0,0,0,0
